assetName,name,editionTier,rarityScore,Background,Serpent Form,Material,Eyes,Head Trait,Aura,Cardano Lore
FFEC0050,Eternal Coil #0050,Common,13,Midnight Privacy Fog,Crescent Coil,Matte Scales,Calm Glow,Cardano Cap,Particle Ring,Epoch
FFEC0051,Eternal Coil #0051,Uncommon,20,Catalyst Constellation,Crescent Coil,Matte Scales,Blue ADA Eyes,None,Particle Ring,CIP-25 Relic
FFEC0052,Eternal Coil #0052,Common,9,Deep Space Black,Classic Ouroboros Coil,Matte Scales,Blue ADA Eyes,Small Horns,Neon Edge,Slot
FFEC0053,Eternal Coil #0053,Common,29,Ouroboros Eclipse,Hydra Twin Coil,Cardano Blue Scales,Spiral Eyes,Small Horns,Prism Explosion,Babel Fees
FFEC0054,Eternal Coil #0054,Uncommon,31,Starfield Minimal,Dragon Coil,Cardano Blue Scales,Ouroboros Pupils,Ouroboros Halo,Event Horizon,Slot
FFEC0055,Eternal Coil #0055,Uncommon,47,Catalyst Constellation,Spiral Coil,Fractal Skin,Violet Eyes,Ouroboros Halo,Golden Aura,CIP-68 Relic
FFEC0056,Eternal Coil #0056,Common,14,Cardano Midnight Blue,Skeleton Coil,Matte Scales,Ouroboros Pupils,Fractal Crest,None / Clean,Slot
FFEC0057,Eternal Coil #0057,Common,28,Julia Rift,Crescent Coil,Neon Rim Scales,Blue ADA Eyes,Golden Crown,ADA Rune Orbit,Slot
FFEC0058,Eternal Coil #0058,Uncommon,24,Midnight Privacy Fog,Crescent Coil,Lava Scales,Void Eyes,None,ADA Rune Orbit,Plutus
FFEC0059,Eternal Coil #0059,Uncommon,14,Hydra Gate,Spiral Coil,Emerald Scales,Blue ADA Eyes,Small Horns,Soft Glow,Voltaire
FFEC0060,Eternal Coil #0060,Common,13,Hydra Gate,Spiral Coil,Fractal Skin,Blue ADA Eyes,Small Horns,Soft Glow,Slot
FFEC0061,Eternal Coil #0061,Uncommon,28,Catalyst Constellation,Infinite Knot Coil,Neon Rim Scales,Amber Eyes,None,Particle Ring,Ouroboros Prime
FFEC0062,Eternal Coil #0062,Common,12,Epoch Dawn Gradient,Serpent Knot,Violet Scales,Calm Glow,None,Soft Glow,Hydra
FFEC0063,Eternal Coil #0063,Mythic,38,Julia Rift,Hydra Twin Coil,Fractal Skin,Calm Glow,None,ADA Rune Orbit,Ouroboros Prime
FFEC0064,Eternal Coil #0064,Uncommon,29,Mandelbrot Bloom,Dragon Coil,Gold Scales,Laser Eyes,Fractal Crest,None / Clean,Slot
FFEC0065,Eternal Coil #0065,Uncommon,25,Nebula Violet,Classic Ouroboros Coil,Emerald Scales,Amber Eyes,Cardano Cap,Soft Glow,CIP-68 Relic
FFEC0066,Eternal Coil #0066,Uncommon,13,Fractal Grid,Classic Ouroboros Coil,Matte Scales,Ouroboros Pupils,Small Horns,None / Clean,Catalyst
FFEC0067,Eternal Coil #0067,Rare,14,Julia Rift,Crescent Coil,Emerald Scales,Third Eye,Fractal Crest,Neon Edge,Epoch
FFEC0068,Eternal Coil #0068,Uncommon,30,Nebula Violet,Classic Ouroboros Coil,Violet Scales,Void Eyes,Small Horns,Golden Aura,Mithril
FFEC0069,Eternal Coil #0069,Common,12,Cardano Midnight Blue,Classic Ouroboros Coil,Glass Prism,Spiral Eyes,Small Horns,Soft Glow,Catalyst
FFEC0070,Eternal Coil #0070,Common,12,Nebula Violet,Dragon Coil,Fractal Skin,Star Pupil,Fractal Crest,None / Clean,Shelley
FFEC0071,Eternal Coil #0071,Uncommon,40,Starfield Minimal,Classic Ouroboros Coil,Violet Scales,Diamond Eyes,Living Glyph Crown,Particle Ring,Epoch
FFEC0072,Eternal Coil #0072,Common,12,Deep Space Black,Spiral Coil,Cardano Blue Scales,Blue ADA Eyes,Space Helmet Ring,Soft Glow,Epoch
FFEC0073,Eternal Coil #0073,Uncommon,28,Deep Space Black,Classic Ouroboros Coil,Living Code Scales,Amber Eyes,Cardano Cap,ADA Rune Orbit,Slot
FFEC0074,Eternal Coil #0074,Uncommon,13,Mandelbrot Bloom,Serpent Knot,Matte Scales,Calm Glow,Cardano Cap,None / Clean,Voltaire
FFEC0075,Eternal Coil #0075,Common,12,Ouroboros Eclipse,Classic Ouroboros Coil,Matte Scales,Amber Eyes,Crystal Horns,None / Clean,Catalyst
FFEC0076,Eternal Coil #0076,Rare,16,Mandelbrot Bloom,Classic Ouroboros Coil,Cardano Blue Scales,Laser Eyes,None,Soft Glow,Shelley
FFEC0077,Eternal Coil #0077,Epic,23,Fractal Grid,Hydra Twin Coil,Matte Scales,Calm Glow,Small Horns,Neon Edge,Hydra
FFEC0078,Eternal Coil #0078,Common,9,Deep Space Black,Crescent Coil,Cardano Blue Scales,Blue ADA Eyes,None,Fractal Bloom,Epoch
FFEC0079,Eternal Coil #0079,Uncommon,16,Mandelbrot Bloom,Double Loop Coil,Emerald Scales,Calm Glow,Catalyst Laurel,None / Clean,Hydra
FFEC0080,Eternal Coil #0080,Rare,18,Ouroboros Eclipse,Classic Ouroboros Coil,Matte Scales,Star Pupil,Small Horns,Lightning Coil,Epoch
FFEC0081,Eternal Coil #0081,Mythic,36,Voltaire Parliament,Skeleton Coil,Matte Scales,Third Eye,Cardano Cap,None / Clean,Voltaire
FFEC0082,Eternal Coil #0082,Uncommon,15,Starfield Minimal,Double Loop Coil,Emerald Scales,Amber Eyes,Space Helmet Ring,Glitch Field,Epoch
FFEC0083,Eternal Coil #0083,Common,18,Cardano Midnight Blue,Skeleton Coil,Violet Scales,Void Eyes,Space Helmet Ring,None / Clean,Shelley
FFEC0084,Eternal Coil #0084,Common,32,Ouroboros Eclipse,Hydra Twin Coil,Opal Scales,Amber Eyes,Ouroboros Halo,Time Warp,CIP-25 Relic
FFEC0085,Eternal Coil #0085,Common,24,Hydra Gate,Classic Ouroboros Coil,Lava Scales,Void Eyes,Serpent Crown,None / Clean,Catalyst
FFEC0086,Eternal Coil #0086,Common,15,Catalyst Constellation,Serpent Knot,Matte Scales,Amber Eyes,Catalyst Laurel,Star Dust,Epoch
FFEC0087,Eternal Coil #0087,Rare,21,Epoch Dawn Gradient,Classic Ouroboros Coil,Chrome Scales,Void Eyes,Cardano Cap,Star Dust,Midnight
FFEC0088,Eternal Coil #0088,Common,35,Quantum ADA Storm,Double Loop Coil,Chrome Scales,Solar Eclipse Eyes,Voltaire Halo,None / Clean,Hydra
FFEC0089,Eternal Coil #0089,Common,18,Quantum ADA Storm,Classic Ouroboros Coil,Emerald Scales,Blue ADA Eyes,None,Soft Glow,Midnight
FFEC0090,Eternal Coil #0090,Common,18,Mandelbrot Bloom,Double Loop Coil,Lava Scales,Violet Eyes,Space Helmet Ring,Star Dust,Hydra
FFEC0091,Eternal Coil #0091,Uncommon,10,Deep Space Black,Crescent Coil,Violet Scales,Calm Glow,Small Horns,Fractal Bloom,Slot
FFEC0092,Eternal Coil #0092,Rare,16,Cardano Midnight Blue,Classic Ouroboros Coil,Fractal Skin,Violet Eyes,Catalyst Laurel,None / Clean,Shelley
FFEC0093,Eternal Coil #0093,Common,19,Mandelbrot Bloom,Crescent Coil,Blacklight Velvet,Calm Glow,Ouroboros Halo,None / Clean,Epoch
FFEC0094,Eternal Coil #0094,Rare,15,Deep Space Black,Classic Ouroboros Coil,Matte Scales,Spiral Eyes,Fractal Crest,Glitch Field,Catalyst
FFEC0095,Eternal Coil #0095,Common,11,Nebula Violet,Classic Ouroboros Coil,Violet Scales,Laser Eyes,None,Star Dust,Epoch
FFEC0096,Eternal Coil #0096,Common,23,Julia Rift,Hydra Twin Coil,Holographic,Third Eye,Small Horns,None / Clean,Mithril
FFEC0097,Eternal Coil #0097,Common,14,Ouroboros Eclipse,Crescent Coil,Lava Scales,Amber Eyes,Small Horns,None / Clean,Epoch
FFEC0098,Eternal Coil #0098,Rare,16,Ouroboros Eclipse,Crescent Coil,Violet Scales,Spiral Eyes,Mushroom Crown,None / Clean,Catalyst
FFEC0099,Eternal Coil #0099,Common,33,Whitepaper Cosmos,Crescent Coil,Holographic,Violet Eyes,Ouroboros Halo,None / Clean,Epoch
FFEC0100,Eternal Coil #0100,Rare,34,Cardano Midnight Blue,Glass Coil,Opal Scales,Blue ADA Eyes,None,Star Dust,CIP-68 Relic
